,municipio,año,fecha,humedad,precipitacion,temp_min_C,temp_max_C,latitud,latitud,longitud,longitud
37587,JUAN DE ACOSTA,2021,2021-06-23,93.00875854492188,2.609999895095825,24.1694274902344,29.623315429687523,10.823092520111464,10.823092520111464,-75.07842405936859,-75.07842405936859
37588,LURUACO,2021,2021-06-23,92.9987581041124,3.1399998135036893,24.19213595920144,29.850949435763937,10.635031161141915,10.635031161141915,-75.15402741021481,-75.15402741021481
37589,MALAMBO,2021,2021-06-23,90.3418451944987,1.666666607062022,25.006422932942712,30.333540852864587,10.848289285861629,10.848289285861629,-74.8061750526255,-74.8061750526255
37590,MANATÍ,2021,2021-06-23,89.78150177001953,5.239999771118164,25.124780273437523,30.346490478515648,10.45414802741401,10.45414802741401,-74.98477032732278,-74.98477032732278
37591,PALMAR DE VARELA,2021,2021-06-23,90.84508514404295,4.199999809265137,24.727227783203148,30.681054687500023,10.694812386323434,10.694812386323434,-74.77015084732946,-74.77015084732946
37592,PIOJÓ,2021,2021-06-23,93.05225598370588,3.051666507014522,24.160470015914427,29.78020064742481,10.740779525620145,10.740779525620145,-75.14364579776823,-75.14364579776823
37593,POLONUEVO,2021,2021-06-23,91.8529052734375,4.199999809265137,24.47058512369796,30.37158610026046,10.767401673530337,10.767401673530337,-74.85414835065527,-74.85414835065527
37594,PONEDERA,2021,2021-06-23,91.03617095947266,4.314999580383301,24.625695800781276,30.992578125000023,10.59465105071938,10.59465105071938,-74.79847290791345,-74.79847290791345
37595,PUERTO COLOMBIA,2021,2021-06-23,88.54749298095703,0.4000000059604645,25.678369140625023,29.77279052734372,11.00468737217774,11.00468737217774,-74.90650030692068,-74.90650030692068
37596,REPELÓN,2021,2021-06-23,91.872841446488,3.928333105864348,24.534683340567145,30.086878571686952,10.507568372875568,10.507568372875568,-75.12187933511093,-75.12187933511093
37597,SABANAGRANDE,2021,2021-06-23,91.11289978027344,4.199999809265137,24.781549072265648,30.521203613281276,10.798940150928054,10.798940150928054,-74.76879660339148,-74.76879660339148
37598,SABANALARGA,2021,2021-06-23,92.83826446533205,3.4049997329711914,24.287133789062523,30.063195800781276,10.62250793138987,10.62250793138987,-74.95510483828492,-74.95510483828492
37599,SANTA LUCÍA,2021,2021-06-23,89.3929951985677,4.699999809265137,25.024021402994837,30.898451741536466,10.35364191997005,10.35364191997005,-74.96541178661992,-74.96541178661992
37600,SANTO TOMÁS,2021,2021-06-23,91.8529052734375,4.199999809265137,24.47058512369796,30.37158610026046,10.744048200714978,10.744048200714978,-74.79479581261772,-74.79479581261772
37601,SOLEDAD,2021,2021-06-23,89.35567474365234,0.4000000059604645,25.342584228515648,30.523339843750023,10.906909741834337,10.906909741834337,-74.77842447604834,-74.77842447604834
37602,SUAN,2021,2021-06-23,89.85133361816406,4.429999828338623,24.950402832031276,31.082666015625023,10.310850238176537,10.310850238176537,-74.90713309116475,-74.90713309116475
37603,TUBARÁ,2021,2021-06-23,90.80809020996094,0.75,24.979394531250023,29.620141601562523,10.907060348938533,10.907060348938533,-74.98448392990626,-74.98448392990626
37604,USIACURÍ,2021,2021-06-23,93.14925130208331,3.404999812444052,24.119846598307333,29.86633707682296,10.740522656584362,10.740522656584362,-74.98267412624779,-74.98267412624779
37606,BARANOA,2021,2021-06-24,91.98973083496094,23.06999969482422,23.586785888671898,28.698175048828148,10.793293658378715,10.793293658378715,-74.92219640305643,-74.92219640305643
37607,CAMPO DE LA CRUZ,2021,2021-06-24,89.12934875488281,19.84000015258789,24.635430908203148,29.006250000000023,10.402620855645086,10.402620855645086,-74.87840832085742,-74.87840832085742
37608,CANDELARIA,2021,2021-06-24,90.5676727294922,19.84000015258789,24.2319274902344,29.002648925781276,10.489019585448387,10.489019585448387,-74.87756539446083,-74.87756539446083
